"Programm";"Version";"Abrufdatum";"Plattform";"Bemerkung"
"7-Zip";"26.00";"16.02.2026 11:35";"Windows";"Quelle: 7-zip.org"
"Adobe Acrobat Reader";"26.001.21483";"27.04.2026 09:04";"Windows";"Quelle: Chocolatey"
"Adobe AIR";"51.3.1.2";"17.03.2026 16:18";"Windows";"Quelle: Chocolatey (Harman)"
"Affinity Suite";"3.2.0.4351";"20.04.2026 07:40";"Windows";"Quelle: Free-Codecs"
"Audacity";"3.7.7";"26.01.2026 17:27";"Windows";"Neu hinzugefügt via Dashboard"
"FFmpeg";"8.1";"17.03.2026 16:26";"Windows";"Neu hinzugefügt via Dashboard"
"Foxit PDF Reader";"2026.1.0.36452";"04.04.2026 11:17";"Windows";"Quelle: Chocolatey"
"GIMP";"3.2.4";"20.04.2026 10:30";"Windows";"Quelle: gimp.org API (Latest)"
"Google Chrome Enterprise";"148.0.7778.56";"27.04.2026 09:14";"Windows";"Stable Channel (Index 2)"
"Helbling Media App";"2.1.38";"12.01.2026 14:35";"Windows";"Quelle: File-Header (Partial Download)"
"Inkscape";"1.4.3";"12.01.2026 14:35";"Windows";"Quelle: inkscape.org"
"IrfanView";"4.73";"12.01.2026 14:35";"Windows";"Quelle: irfanview.com"
"Java 8";"8.491";"25.04.2026 14:24";"Windows";"Quelle: Oracle Cloud API"
"Lego Mindstorms EV3 Classroom";"1.5.3";"12.01.2026 14:34";"Windows";"Quelle: Apple App Store (Proxy)"
"Lego SPIKE App";"3.6.0";"12.01.2026 14:34";"Windows";"Quelle: Lego Education Release Notes"
"LYNX Whiteboard";"8.6.5.0";"28.03.2026 14:51";"Windows";"Quelle: Google Play Store"
"Minecraft Education";"1.21.13201.0";"21.02.2026 11:02";"Windows";"Quelle: aka.ms Redirect"
"Mozilla Firefox";"150.0";"22.04.2026 14:40";"Windows";"Stable Release (Official API)"
"MuseScore";"4.6.5";"12.01.2026 14:35";"Windows";"Quelle: GitHub API"
"Notepad++";"8.9.4";"27.04.2026 08:03";"Windows";"Neu hinzugefügt via Dashboard"
"OpenBoard";"1.7.7";"13.04.2026 07:18";"Windows";"Quelle: GitHub API"
"Paint.NET";"5.1.12";"09.03.2026 10:35";"Windows";"Quelle: Chocolatey"
"PDF24 Creator";"11.30.1";"22.04.2026 14:42";"Windows";"Offizieller Changelog"
"Shotcut";"26.2.26";"02.03.2026 10:34";"Windows";"Quelle: Chocolatey"
"SMART Notebook";"25.1.2254.1";"25.02.2026 08:10";"Windows";"Quelle: SMART Tech Updates"
"Sweet Home 3D";"7.5.0";"12.01.2026 14:34";"Windows";"Quelle: Chocolatey"
"VLC Media Player";"3.0.23";"12.01.2026 14:34";"Windows";"Quelle: Offizielle Download-Seite"
"Worksheet Crafter";"2026.1.3";"29.04.2026 09:42";"Windows";"Offizielle Download-Seite"
